UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_rolling_mean,Air temperature [K]_rolling_std,Air temperature [K]_rolling_var,Process temperature [K]_rolling_mean,Process temperature [K]_rolling_std,Process temperature [K]_rolling_var,Rotational speed [rpm]_rolling_mean,Rotational speed [rpm]_rolling_std,Rotational speed [rpm]_rolling_var,Torque [Nm]_rolling_mean,Torque [Nm]_rolling_std,Torque [Nm]_rolling_var,Tool wear [min]_rolling_mean,Tool wear [min]_rolling_std,Tool wear [min]_rolling_var,Timestamp,ambient_temp,humidity,factory_load,ambient_gap,load_stress,wear_efficiency,mechanical_stress,heat_stress,Type_L,Type_M
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,0.1398411797560165,0.0195555555555545,308.69,0.1523883926755097,0.0232222222222253,1544.7,140.10000396542162,19628.01111111115,38.02,8.377721779948432,70.18622222222233,12.8,6.988880056521535,48.84444444444445,2026-01-01 00:50:00,35.45240587117376,47,83,273.4475941288262,1983.6999999999998,0.01346045989904655,42589.799999999996,1666.2630759451667,False,False
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,0.1837873166945515,0.0337777777777833,308.73,0.2002775851440285,0.0401111111111236,1546.2,138.5454598478221,19194.844444444483,37.82,8.179622376505062,66.90622222222233,15.4,7.734482673212361,59.82222222222223,2026-01-01 00:55:00,32.24626475147163,87,70,276.8537352485284,3101.0,0.020365168539325844,63038.899999999994,2805.4250333780315,False,False
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,0.2024845673132014,0.0410000000000144,308.79,0.2131770260709857,0.0454444444444697,1530.3,153.0555817705161,23426.011111111147,37.99,8.459898869897264,71.56988888888901,18.3,8.769264507357503,76.90000000000002,2026-01-01 01:00:00,29.787252672327647,82,59,279.31274732767235,3014.9,0.025373134328358207,68422.90000000001,2442.554719130867,False,True
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,0.2173067468401398,0.0472222222222446,308.85,0.2368778400592765,0.0561111111111481,1561.2,162.15068437858804,26292.84444444448,37.04,8.798131114680618,77.40711111111123,21.3,9.569047322835576,91.56666666666668,2026-01-01 01:05:00,26.637341017567024,62,54,282.56265898243294,1620.0,0.021227768215720023,52260.0,1651.5151430891556,False,True
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,0.2233582075700818,0.0498888888889197,308.9,0.2538591035288872,0.0644444444444902,1623.9,210.3803169922933,44259.877777777816,35.0,10.276402310363514,105.60444444444455,24.4,10.145606602531627,102.93333333333337,2026-01-01 01:10:00,30.727229381308163,52,75,278.4727706186918,1470.0,0.019646365422396856,39886.0,1597.8159278280245,True,False
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,0.2065591117978258,0.0426666666667067,308.96,0.2458545188612628,0.060444444444503,1635.6,201.1401943366313,40457.37777777782,35.65,10.94514098178325,119.7961111111112,27.5,10.33064481154116,106.72222222222229,2026-01-01 01:15:00,34.42292174265647,46,93,274.77707825734353,4501.2,0.027219701879455604,74632.8,1583.4544001621975,True,False
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,0.1728840330653417,0.0298888888889381,309.02,0.2201009869230887,0.0484444444445176,1610.9,225.4277169195385,50817.6555555556,36.07,11.30752453506563,127.8601111111112,30.5,10.33064481154116,106.7222222222223,2026-01-01 01:20:00,28.968998449290684,89,68,280.2310015507093,3168.8,0.03353658536585366,61092.6,2578.2408619868706,False,True
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,0.1178511301979952,0.0138888888889448,309.08000000000004,0.1686548085425958,0.0284444444445396,1599.2,233.16937096358865,54367.95555555561,36.61,11.650412486736734,135.7321111111112,33.6,10.145606602531632,102.93333333333344,2026-01-01 01:25:00,34.04348619378849,79,70,275.1565138062115,3192.0,0.03330970942593905,64296.0,2689.4354093092907,False,True
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,0.1054092553392399,0.011111111111173,309.13,0.1059349905476743,0.0112222222223358,1563.1,248.9196434371722,61960.98888888894,39.2,12.51843085658547,156.7111111111112,36.8,9.715966241192904,94.40000000000016,2026-01-01 01:30:00,32.08459722716071,41,83,277.1154027728393,4523.5,0.03825554705432287,71177.0,1315.468486313589,False,False
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,0.1349897115423419,0.0182222222222846,309.16,0.1074967699778926,0.0115555555556799,1552.2,242.56948603555972,58839.955555555614,39.65,12.14644438142748,147.53611111111118,40.2,9.51957048517539,90.6222222222224,2026-01-01 01:35:00,34.236486012730474,42,78,275.0635139872695,2535.0,0.03368034292712799,53040.0,1437.93241253468,False,True
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,0.1286683937710401,0.0165555555556194,309.2,0.066666666667678,0.0044444444445792,1511.5,233.71076616669225,54620.722222222284,41.53,10.82035633013586,117.08011111111117,43.6,9.15544768005489,83.82222222222245,2026-01-01 01:40:00,24.982304298779383,81,87,284.3176957012206,3714.9,0.04215116279069767,58712.50000000001,2023.56664820113,False,False
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,0.1286683937710541,0.016555555555623,309.22,0.0632455532044769,0.0040000000001403,1514.2,232.72864504014603,54162.622222222286,41.58,10.835722813402386,117.41288888888892,47.0,9.439868172337546,89.11111111111138,2026-01-01 01:45:00,27.73899460170358,78,64,281.5610053982964,2867.2,0.043418332184700204,64959.99999999999,2163.6415789328794,True,False
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,0.134989711542383,0.0182222222222957,309.23999999999995,0.0516397779508376,0.0026666666668118,1538.4,224.9381149462128,50597.155555555626,39.540000000000006,10.764365079072505,115.87155555555562,50.1,9.780365819106969,95.65555555555588,2026-01-01 01:50:00,30.612205001481218,62,89,278.68779499851877,2732.2999999999997,0.04108723135271808,48536.7,1897.9567100918355,False,True
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,0.1475729574748138,0.0217777777778632,309.26,0.0699205898790666,0.0048888888890366,1540.0,226.59802882343604,51346.66666666674,39.11,11.262173660335542,126.83655555555563,53.2,10.07527225990005,101.51111111111148,2026-01-01 01:55:00,37.5988192288045,46,65,271.8011807711955,1670.5,0.038658328595793066,45180.6,1729.5456845250071,True,False
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,0.1475729574748583,0.0217777777778763,309.28000000000003,0.078881063775613,0.0062222222223723,1492.6,147.2218280917158,21674.26666666672,40.88,9.023647944275211,81.4262222222223,56.2,10.174041041351831,103.5111111111115,2026-01-01 02:00:00,29.73719551612561,43,67,279.66280448387437,2499.1,0.04481434058898848,58225.299999999996,1278.6994071934012,False,True
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,0.1349897115425169,0.0182222222223319,309.31,0.0994428926019631,0.0098888888890455,1524.5,188.02201407754845,35352.27777777783,38.37,10.123355833582728,102.48233333333349,59.3,10.08904796741939,101.78888888888932,2026-01-01 02:05:00,31.61965008008399,47,98,277.880349919916,2283.4,0.03920515574650913,43361.3,1486.1235537639475,True,False
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.91,0.1197218999742952,0.0143333333334551,309.34000000000003,0.1074967699780809,0.0115555555557204,1544.6,172.78901714068664,29856.0444444445,37.61,9.713844644515266,94.35877777777792,62.4,9.61711437432712,92.48888888888932,2026-01-01 02:10:00,38.45219206548815,71,50,271.04780793451187,1950.0,0.0495703899537343,58968.0,2730.1056366496587,True,False
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,0.1080123449740662,0.0116666666667966,309.36,0.0966091783088141,0.0093333333335042,1584.7,184.23297448852352,33941.78888888896,35.51,10.058434824122056,101.1721111111113,65.4,8.934328302800532,79.82222222222263,2026-01-01 02:15:00,33.28591130828378,58,60,276.1140886917162,1476.0,0.04249448123620309,44550.600000000006,1930.5828558804592,False,False
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,0.103279555899524,0.0106666666668029,309.38,0.0788810637757825,0.006222222222399,1598.0,165.75148734040255,27473.555555555628,34.480000000000004,8.265295585223274,68.31511111111134,68.6,8.52708104283708,72.7111111111115,2026-01-01 02:20:00,34.57889028308881,51,85,274.82110971691117,3757.0000000000005,0.05694444444444444,63603.8,1763.5234044375293,True,False
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,0.0994428926018697,0.009888888889027,309.39,0.0737864787384804,0.0054444444446242,1604.1,168.24548863028843,28306.54444444452,34.239999999999995,8.363438952435258,69.94711111111135,71.5,8.316649966583121,69.16666666666703,2026-01-01 02:25:00,30.073025847501714,49,81,279.3269741524983,2438.1,0.049586776859504134,50959.3,1473.578266527584,True,False
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,0.0994428926018938,0.0098888888890318,309.41,0.0737864787385211,0.0054444444446302,1600.5,173.97972423372937,30268.94444444452,34.79,9.127546828754774,83.31211111111134,74.3,7.97287066662109,63.56666666666703,2026-01-01 02:30:00,35.536960221903904,53,77,273.9630397780961,3711.4,0.06417910447761194,64539.8,1883.458891760907,False,True
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,0.0674948557721591,0.0045555555557045,309.42,0.063245553204866,0.0040000000001895,1635.3,175.3301964231429,30740.677777777877,32.86,8.810751008474455,77.6293333333336,76.9,8.116512661098863,65.87777777777814,2026-01-01 02:35:00,35.99418480654518,66,55,273.4058151934548,1402.5,0.049471928849360754,45849.0,2375.616197231982,True,False
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.0516397779508961,0.0026666666668178,309.43,0.0483045891559663,0.0023333333335267,1619.1,187.93583420353303,35319.87777777786,34.62,10.007863574876186,100.15733333333355,79.5,8.045012257431468,64.72222222222257,2026-01-01 02:40:00,33.50479474316769,83,56,275.8952052568323,2704.7999999999997,0.06408450704225352,68537.7,2780.8979636829185,True,False
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,0.0674948557721482,0.004555555555703,309.42,0.063245553204866,0.0040000000001895,1609.8,182.52171864678968,33314.177777777855,35.3,9.555219632338256,91.30222222222244,82.0,7.958224257542237,63.33333333333368,2026-01-01 02:45:00,31.74206917512673,60,89,277.55793082487327,2892.5,0.05582232893157263,54112.5,1904.5241505076037,True,False
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,0.0994428926018743,0.0098888888890279,309.39,0.1197218999745316,0.0143333333335117,1609.6,182.58221892250828,33336.26666666674,35.04,9.530092689300922,90.82266666666688,84.5,7.691987172809575,59.16666666666704,2026-01-01 02:50:00,33.678281763696745,59,73,275.42171823630326,2533.1000000000004,0.060897435897435896,54097.3,1987.018624058108,False,True
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,0.1197218999743262,0.0143333333334625,309.36,0.1264911064074048,0.0160000000001694,1568.7,164.9693911002888,27214.90000000004,37.57000000000001,9.424795901120508,88.8267777777779,87.0,7.601169500660944,57.77777777777816,2026-01-01 02:55:00,27.122942436204053,43,59,282.07705756379596,2867.4,0.06744666207845836,70567.2,1166.2865247567743,False,True
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,0.1159501808733556,0.0134444444445638,309.33,0.1251665557040909,0.0156666666668253,1575.6,163.77301364999073,26821.60000000005,37.34,9.414079290556726,88.62488888888903,89.6,7.486283753935917,56.04444444444485,2026-01-01 03:00:00,35.265901702974666,58,79,273.93409829702534,2899.3,0.0638432364096081,58022.700000000004,2045.4222987725307,False,True
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,0.1173787790781782,0.0137777777778837,309.3,0.1414213562378272,0.0200000000001464,1538.4,145.60311351982378,21200.26666666669,38.8,8.282914140969154,68.60666666666678,92.3,7.3037281195595485,53.34444444444486,2026-01-01 03:05:00,29.45263489039827,68,66,279.64736510960176,2587.2000000000003,0.07222222222222222,56408.8,2002.7791725470822,True,False
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.92,0.1032795558993386,0.0106666666667646,309.28000000000003,0.1398411797565225,0.019555555555696,1532.4,151.27987308297168,22885.600000000017,39.45,8.979513721057883,80.63166666666679,94.7,7.484057129065192,56.01111111111153,2026-01-01 03:10:00,31.164205419459293,46,93,278.0357945805407,4715.1,0.07681159420289856,69915.3,1433.5534492951274,False,False
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,0.1054092553393766,0.0111111111112018,309.25,0.143372087784505,0.0205555555556878,1498.1,149.6970644705871,22409.2111111111,41.690000000000005,9.1796211492874,84.26544444444451,97.4,8.044321668799151,64.71111111111155,2026-01-01 03:15:00,35.95266461169762,72,57,273.1473353883024,2992.5,0.08216136195410807,70875.0,2588.5918520422288,True,False
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,0.0823272602353459,0.0067777777778583,309.21,0.1197218999742994,0.0143333333334561,1500.4,147.13576497008918,21648.933333333327,41.41,8.99993209850929,80.99877777777785,100.1,8.319321553534976,69.2111111111116,2026-01-01 03:20:00,35.292686751280016,47,61,273.80731324872,2769.4,0.08290535583272193,61834.799999999996,1658.7562773101608,True,False
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,0.0707106781191911,0.0050000000000758,309.18,0.1032795558994395,0.0106666666667854,1457.4,108.17393401369834,11701.599999999962,43.940000000000005,7.453738808290925,55.55822222222222,102.7,8.525126261691279,72.67777777777832,2026-01-01 03:25:00,27.136616846461255,50,75,281.96338315353876,3810.0,0.08400292184075968,69494.4,1356.8308423230628,True,False
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,0.0483045891547131,0.0023333333334056,309.15,0.0707106781194806,0.0050000000001167,1452.3,111.34136697562124,12396.89999999996,44.02,7.509815798895026,56.397333333333336,105.3,8.525126261691282,72.67777777777839,2026-01-01 03:30:00,29.158014433058796,72,66,279.94198556694124,3240.6,0.08546384222059898,67168.8,2099.377039180233,False,True
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,0.0421637021364202,0.0017777777778487,309.14,0.0516397779505538,0.0026666666667825,1423.0,84.45511628472609,7132.666666666606,45.62,6.40603881765739,41.0373333333333,108.0,8.472176684759267,71.77777777777852,2026-01-01 03:35:00,33.92034005237544,64,84,275.27965994762457,4074.0,0.08739985433357611,66542.0,2170.901763352028,False,False
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,0.0421637021364202,0.0017777777778487,309.14000000000004,0.0516397779505538,0.0026666666667825,1414.3,72.52746606171529,5260.233333333264,46.9,5.134199061197369,26.359999999999943,111.0,8.666666666666721,75.11111111111205,2026-01-01 03:40:00,26.781777602761657,72,95,282.31822239723834,4512.5,0.08486082824168364,69920.0,1928.2879873988393,False,True
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,0.0421637021364202,0.0017777777778487,309.13,0.0483045891551618,0.0023333333334489,1418.0,75.54542415733096,5707.111111111043,46.95,5.154986798129442,26.573888888888835,114.0,8.856886837057678,78.44444444444557,2026-01-01 03:45:00,36.25803869668254,75,93,272.8419613033175,4566.3,0.08590604026845637,73109.90000000001,2719.3529022511907,True,False
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,0.0471404520798235,0.0022222222222901,309.11,0.0567646212207733,0.0032222222223378,1444.2,148.53192698316843,22061.733333333275,45.86,7.955040330926463,63.2826666666666,116.9,8.875058685252057,78.76666666666796,2026-01-01 03:50:00,32.35377523040996,65,54,276.64622476959005,1393.2,0.07049891540130152,47549.4,2102.9953899766474,False,True
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,0.0471404520798235,0.0022222222222901,309.11,0.0567646212207733,0.0032222222223378,1442.1,148.76189028107953,22130.09999999994,46.57000000000001,7.603661398738545,57.8156666666666,119.8,8.929352346801796,79.73333333333474,2026-01-01 03:55:00,36.23875272137556,75,94,272.86124727862443,4352.2,0.09372797744890768,65653.4,2717.906454103167,True,False
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,0.0316227766027308,0.0010000000000662,309.11,0.0567646212207733,0.0032222222223378,1446.7,147.29792183794623,21696.67777777772,46.89,7.85980633066461,61.77655555555548,122.7,8.65447860936761,74.90000000000151,2026-01-01 04:00:00,29.7653394237557,50,60,279.4346605762443,3234.0,0.09467040673211781,76807.5,1488.266971187785,False,False
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.0471404520798235,0.0022222222222901,309.12,0.0632455532042776,0.0040000000001151,1452.9,144.04432188276846,20748.76666666661,46.05,7.639408063165331,58.36055555555548,125.6,9.143303560530054,83.60000000000157,2026-01-01 04:05:00,30.03148505722239,69,65,279.1685149427776,2866.5,0.09907997169143666,62269.200000000004,2072.172468948345,False,True
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,0.0567646212203686,0.0032222222222919,309.12,0.0632455532042776,0.0040000000001151,1602.8,463.8631982240741,215169.06666666665,41.97,15.18940054409287,230.71788888888875,128.6,9.46572765295947,89.6000000000016,2026-01-01 04:10:00,35.10245899316561,72,91,273.9975410068344,418.59999999999997,0.04996505939902166,13160.599999999999,2527.377047507924,True,False
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,0.0632455532039378,0.0040000000000721,309.12,0.0632455532042776,0.0040000000001151,1604.3,463.04308654810944,214408.9,42.38,15.506256801691372,240.4439999999999,131.6,9.430447143870484,88.93333333333494,2026-01-01 04:15:00,31.11088197290718,49,79,277.98911802709284,4337.099999999999,0.10476878612716763,75926.7,1524.4332166724519,True,False
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,0.0632455532039378,0.0040000000000721,309.11,0.073786478738043,0.0054444444445596,1617.2,457.4921492951181,209299.06666666665,41.85,15.340740964286349,235.33833333333325,134.6,9.033271832509062,81.60000000000161,2026-01-01 04:20:00,28.277235545548542,68,89,280.72276445445146,3898.2,0.09813084112149532,65568.59999999999,1922.8520170973009,False,False
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,0.0737864787377355,0.0054444444445142,309.09000000000003,0.0737864787380511,0.0054444444445608,1636.5,450.0084567106613,202507.6111111111,40.510000000000005,15.280448655426026,233.49211111111103,137.8,8.954204474869856,80.17777777777935,2026-01-01 04:25:00,33.68441593361527,64,55,275.31558406638476,1930.5,0.0970625798212005,54931.5,2155.8026197513773,True,False
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.0816496580931817,0.0066666666667334,309.08000000000004,0.0788810637754029,0.0062222222223391,1658.4,446.42809549180976,199298.0444444444,38.77,15.386361204362489,236.74011111111105,140.7,9.043720964784928,81.78888888889041,2026-01-01 04:30:00,27.222881663415183,71,69,281.7771183365848,2076.9,0.09101654846335698,50899.100000000006,1932.824598102478,True,False
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,0.0816496580931817,0.0066666666667334,309.08000000000004,0.0788810637754029,0.0062222222223391,1660.7,445.51669129475073,198485.1222222222,37.93,14.983772703976936,224.5134444444444,143.5,9.009254501159797,81.16666666666802,2026-01-01 04:35:00,36.32640278812638,43,69,272.77359721187366,2808.3,0.10310641110376735,61538.4,1562.0353198894343,True,False
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,0.0737864787377355,0.0054444444445142,309.09000000000003,0.0737864787380468,0.0054444444445602,1624.1,443.90726008430585,197053.6555555556,39.59,14.398722937199052,207.3232222222221,146.3,8.692908987598333,75.56666666666787,2026-01-01 04:40:00,32.55262532795343,78,73,276.5473746720466,3095.2,0.10690121786197564,62624.799999999996,2539.1047755803675,True,False
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,0.0737864787377355,0.0054444444445142,309.09000000000003,0.0737864787380468,0.0054444444445602,1633.6,440.0058585468557,193605.1555555556,38.99,14.211845606941958,201.97655555555545,149.0,8.286535263104101,68.66666666666775,2026-01-01 04:45:00,29.33103054936158,73,76,279.76896945063845,3062.7999999999997,0.10568031704095113,60973.899999999994,2141.165230103395,True,False
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.81,0.0737864787377355,0.0054444444445142,309.07000000000005,0.0674948557719486,0.0045555555556761,1657.2,433.86039741424247,188234.84444444443,36.55,13.441250768519357,180.66722222222216,151.7,7.587270040447191,57.56666666666753,2026-01-01 04:50:00,35.435564170944694,61,52,273.5644358290553,1534.0,0.09747292418772563,48999.5,2161.5694144276263,False,True
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.0666666666671771,0.0044444444445125,309.06,0.051639777950626,0.0026666666667899,1653.8,436.1227655909132,190203.06666666665,37.58,14.44151423270196,208.55733333333328,154.2,7.420691791650375,55.06666666666726,2026-01-01 04:55:00,35.48835617545661,52,73,273.6116438245434,3971.2,0.11965192168237854,74963.2,1845.3945211237437,True,False
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.79,0.0567646212203392,0.0032222222222885,309.06000000000006,0.051639777950626,0.0026666666667899,1507.0,109.04127658827277,11890.0000000002,42.38,9.336523264399151,87.17066666666659,156.6,7.2755297630711215,52.933333333333735,2026-01-01 05:00:00,32.01119722787412,75,59,277.0888027721259,3103.4,0.11979913916786226,73271.8,2400.839792090559,True,False
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.78,0.0421637021363462,0.0017777777778425,309.05,0.0527046276706597,0.0027777777779028,1527.9,102.46457382378097,10498.98888888906,40.71,8.282303758952304,68.59655555555548,159.0,6.97614984548547,48.66666666666694,2026-01-01 05:05:00,38.826226171078666,45,74,270.17377382892136,2826.8,0.10608913998744507,60814.4,1747.1801776985399,False,True
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.78000000000003,0.0421637021363462,0.0017777777778425,309.05,0.0527046276706597,0.0027777777779028,1561.1,138.71429470518055,19241.655555555684,38.620000000000005,9.895767894520477,97.92622222222218,161.5,6.670832032063175,44.50000000000011,2026-01-01 05:10:00,38.75703438794427,56,77,270.24296561205574,1763.3,0.09398907103825137,41884.1,2170.3939257248794,True,False
